data\F001_001.wav	بىز نەچچە يىل تىرىشىش ئارقىلىق بۇ قاقاس يەرنى ئاخىرى مۇنبەت ئېتىزغا ئايلاندۇردۇق 
data\F001_002.wav	بۇ دورىنى ھېلىلا قايناتقان چاققان بول ئىسسىقىدا ئىچىۋالغىن 
data\F001_003.wav	ئەدەبىيات مۇئەللىم كىشگەھامان يېقىملىق تۇيۇلىدۇ 
data\F001_004.wav	سېنىڭ بۇ قىلغىنىڭ خۇددى چاڭقىغانغا سۇ بەرگەندەك ئىش بولدى كۆپتىن كۆپ رەھمەت 
data\F001_005.wav	يامغۇردىن كېيىنكى ھاۋا خۇددى سۈزۈپ تازىلانغاندەك ئىنتايىن ساپ بولىدۇ 
data\F001_006.wav	قار بارغانچە قاتتىق ياغدى يولدىكى پىيادىلەر تېخىمۇ شالاڭلاپ كەتتى 
data\F001_007.wav	بۇ قېتىمقى ئىلغارلارنى باھالاش ئادىل بولغاچقا كۆپچىلىك چىن كۆڭلىدىن قايىل بولدى 
data\F001_008.wav	نەتىجىسى ئاساسىي ئورۇندا تۇرىدۇ يېتەرسىزلىكىمۇ ئاز ئەمەس بۇ باھا ئادىل بولغاندۇ 
data\F001_009.wav	مەدەنىي سىنىپ بولۇپ باھالىنىشنى قولغا كەلتۈرۈش سىنىپىمىزدىكى بارلىق ساۋاقداشلارنىڭ ئورتاق كۆرەش نىشانى بولۇپ قالدى 
data\F001_010.wav	چەتكە چىقىپ بىلىم ئىگىلىگەندىن كېيىن قايتىپ كېلىمەن تەشكىلنىڭ ماڭا بولغان ئىشەنچىنى ھەرگىز يەردە قويمايمەن 
data\F001_011.wav	ۋەزىيەتنىڭ تەرەققىياتى پەرىزىمنىڭ توغرا ئىكەنلىكىنى ئىسپاتلىدى 
data\F001_012.wav	ئۇ ياشانغان تەنھا ئادەم دائىم چايخانىدىن چىقماي باشقىلار بىلەن پاراڭلىشىپ ئولتۇراشقا ئامراق 
data\F001_013.wav	ئۇ ئەتراپىدىكىلەرنىڭ ھەممىسى يات ئادەملەر ئىكەنلىكىنى كۆرۈپ بىردىنلا يالغۇزلۇق ھېس قىلدى 
data\F001_014.wav	ئەيىبلەش كىشىنى چۈشكۈنلەشتۈرىدۇ ئىلھاملاندۇرۇش كىشىنى روھلاندۇرىدۇ 
data\F001_015.wav	بىز يېزىقچىلىققا ماتېرىيال توپلاشتا تۇرمۇشىنى كۆپ كۆزىتىشىمىز لازىم 
data\F001_016.wav	مەكتەپنىڭ تۈرلۈك قائىدە تۈزۈملىرى ھەقىقىي تۈردە ئىزچىل ئىجرا قىلىنىشى شەرت 
data\F001_017.wav	پۈتۈن مەملىكەتنىڭ ھەرقايسى جايلىرىدا كەڭ كۆلەملىك مەھسۇلاتنى ئاشۇرۇپ چىقىمنى تېجەش ھەرىكىتى قوزغىتىلدى 
data\F001_018.wav	بالىلارنىڭ گۆدەكلىكتىن يېتىلگەنگىچە بولغان ئۆتكۈنچى دەۋرىدە ئاتا ئانىلار كۆپرەك كۆڭۈل بۆلۈشى لازىم 
data\F001_019.wav	ياشانغانلار ئۆتمۈشنى ئەسلەشكە ياشلار كەلگۈسىنى ئويلاشقا ئامراق 
data\F001_020.wav	بۇ كىتابقا يېزىلغىنى ساپلا جىن شەيتانلارنىڭ ھېكايىسى بولغاچقا ئۇ ئوقۇغانسېرى قورقتى 
data\F001_021.wav	سېنىڭ ئىلگىرىلىشىڭ ئۈچۈن ئوقۇتقۇچى قانچىلىك زېھنىنى سەرپ قىلدى ھە 
data\F001_022.wav	كۆپچىلىك كۆزىلىرىنى چەكچەيتىپ ئوقۇتقۇچى ئىشلەۋەتقان تەجرىبىنى قىزىقىپ كۆرمەكتە ئىدى 
data\F001_023.wav	سېنىڭ بىر ئىشنى ئاخىرغىچە چىداپ داۋاملاشتۇرىدىغان قەتئىي ئىرادەڭ كىشىنى قايىل قىلىدۇ 
data\F001_025.wav	كەينىگە داجىغان ئادەملەر يول ياقىسىدىكى يايمىلارنى ئۆرۈۋەتتى 
data\F001_026.wav	ئوخشاشمايدىغان پىكىر بولسا كۆپچىلىك ئۆزئارا مۇزاكىرىلەشسە بولىدۇ 
data\F001_027.wav	ئاساسىمىز بولمىسا باشقىلاردىن خالىغانچە گۇمانلانساق بولمايدۇ 
data\F001_028.wav	باھار كەلدى دەرەخ شاخلىرىدىكى قۇشلار خۇشاللىقىدىن سايراشماقتا 
data\F001_029.wav	شاد خۇراملىق ناخشا ساداسى مەكتەپ ئاسمىنىدا ئۇزاققىچە ياڭرىدى 
data\F001_030.wav	ئاي يەرشارىنى چۆرىدەپ ئايلىنىدىغان ھەمراھدۇر 
data\F001_031.wav	مەغلۇبىيەت قورقۇنچلۇق ئەمەس قورقۇنچلۇقى مەغلۇبىيەتتىن كېيىنكى روھسىزلىنىش 
data\F001_032.wav	دوختۇر ھېلىقى بىھۇش ئادەمنى قۇتقۇزۇۋاتىدۇ 
data\F001_033.wav	ئۇنىڭ بەدەن ساپاسى ياخشى بولغاچقا بۇ خىل جىددىي ھەرىكەتكە ماسلىشالايدۇ 
data\F001_034.wav	ئۇ ئۆزى يېڭى ئىجاد قىلغان ناخشا تېكستىنى ماڭا قايناق ھېسسىيات بىلەن دېكلاماتسىيە قىلىپ بەردى 
data\F001_035.wav	ئۇ مەخسۇس خاتىرە تۇتۇپ پاساھەتلىك جۈملىلەرنى توپلىدى 
data\F001_036.wav	مەكتەپ يازلىق تەتىلگە قويۇپ بەردى دادام ئاپام مېنى مومامنىڭكىگە قويۇپ قويدى 
data\F001_037.wav	ياشلار ئۆسمۈرلەر جاپا مۇشەققەتلىك شارائىتتا ئۆزلىرىنىڭ ئىرادىسىنى چېنىقتۇرۇشى لازىم 
data\F001_038.wav	تۇرمۇش شارائىتىمىز ياخشى بولغاندا جاپا مۇشەققەتكە چىداپ ئاددىي ساددا ئۆتۈشتەك شەرەپلىك ئەنئەنىمىزنى يوقىتىپ قويماسلىقىمىز لازىم 
data\F001_039.wav	دالىدا چارلاش ئېلىپ بېرىۋاتقان كۈنلەردە تۇرمۇشىمىز ئىنتايىن جاپالىق بولدى 
data\F001_041.wav	ھەرقايسى تۈر مۇسابىقىسىدە يېڭىپ چىققانلار مۇكاپاتلاندى 
data\F001_042.wav	بىز ھەقىقەتنى ئەمەلىيەتتىن ئىزدەشكە ئەزەلدىن ئەھمىيەت بېرىپ كەلدۇق 
data\F001_043.wav	ئۇلار ئىككىسى بەك قىزغىن مۇڭدىشىپ كېتىپ دەرسكە كىرىش قوڭغۇرىقىنىڭ چېلىنغانلىقىنىمۇ ئاڭلىماي قاپتۇ 
data\F001_044.wav	تېلىفوندىن قۇتقۇزۇش ماشىنىسى تېز دېگەن تاقەتسىزلەنگەن ئاۋاز كەلدى 
data\F001_045.wav	تېخنىك خادىم بۇ ئەسۋابنىڭ ئېغىش ئەھۋالىنى چېرتيوژدىكى چۈشەندۈرۈش بويىچە ئوڭشىدى 
data\F001_046.wav	خاتالىق ۋەئوڭۇشسىزلىقلار بىزگە ساۋاق بولدى شۇنداقلا بىزنى زېرەكلەشتۈرۈۋەتتى 
data\F001_048.wav	ئويۇن قالتىس ئوينالغاچقا تاماشىبىنلارنىڭ قىزغىن ئالقىشىغا ئېرىشتى 
data\F001_049.wav	ئاكام كومپيۇتېرغا پۇختا 
data\F001_050.wav	مىڭ بىر جاپا مۇشەققەتنى بېشىدىن ئۆتكۈزۈش ئارقىلىق ئۇ ئاخىر مۇۋەپپەقىيەت قازاندى 
data\F001_051.wav	بىز ئۆزىمىزنى كوللېكتىپقا پايدىسىز ئىشنى قىلماسلىق ھەققىدە ئاگاھلاندۇرۇپ تۇرشىمىز لازىم 
data\F001_052.wav	جىسىملارنىڭ ھەرىكەت ھالىتى مۇتلەق بولىدۇ تۇرغۇن ھالىتى بولسا نىسپىي ۋاقىتلىق بولىدۇ 
data\F001_053.wav	خەلق ئۆز داھىيسىنى سۆيىدۇ 
