data\F001_001.wav	biz nechche yil tirishish arqiliq bu qaqas yerni axiri munbet étizgha aylandurduq 
data\F001_002.wav	bu dorini hélila qaynatqan chaqqan bol issiqida ichiwalghin 
data\F001_003.wav	edebiyat mu’ellim kishgehaman yéqimliq tuyulidu 
data\F001_004.wav	séning bu qilghining xuddi changqighan’gha su bergendek ish boldi köptin köp rehmet 
data\F001_005.wav	yamghurdin kéyinki hawa xuddi süzüp tazilan’ghandek intayin sap bolidu 
data\F001_006.wav	qar barghanche qattiq yaghdi yoldiki piyadiler téximu shalanglap ketti 
data\F001_007.wav	bu qétimqi ilgharlarni bahalash adil bolghachqa köpchilik chin könglidin qayil boldi 
data\F001_008.wav	netijisi asasiy orunda turidu yétersizlikimu az emes bu baha adil bolghandu 
data\F001_009.wav	medeniy sinip bolup bahalinishni qolgha keltürüsh sinipimizdiki barliq sawaqdashlarning ortaq köresh nishani bolup qaldi 
data\F001_010.wav	chetke chiqip bilim igiligendin kéyin qaytip kélimen teshkilning manga bolghan ishenchini hergiz yerde qoymaymen 
data\F001_011.wav	weziyetning tereqqiyati perizimning toghra ikenlikini ispatlidi 
data\F001_012.wav	u yashan’ghan tenha adem da’im chayxanidin chiqmay bashqilar bilen parangliship olturashqa amraq 
data\F001_013.wav	u etrapidikilerning hemmisi yat ademler ikenlikini körüp birdinla yalghuzluq hés qildi 
data\F001_014.wav	eyiblesh kishini chüshkünleshtüridu ilhamlandurush kishini rohlanduridu 
data\F001_015.wav	biz yéziqchiliqqa matériyal toplashta turmushini köp közitishimiz lazim 
data\F001_016.wav	mektepning türlük qa’ide tüzümliri heqiqiy türde izchil ijra qilinishi shert 
data\F001_017.wav	pütün memliketning herqaysi jaylirida keng kölemlik mehsulatni ashurup chiqimni téjesh herikiti qozghitildi 
data\F001_018.wav	balilarning gödekliktin yétilgen’giche bolghan ötkünchi dewride ata anilar köprek köngül bölüshi lazim 
data\F001_019.wav	yashan’ghanlar ötmüshni esleshke yashlar kelgüsini oylashqa amraq 
data\F001_020.wav	bu kitabqa yézilghini sapla jin sheytanlarning hékayisi bolghachqa u oqughanséri qorqti 
data\F001_021.wav	séning ilgirilishing üchün oqutquchi qanchilik zéhnini serp qildi he 
data\F001_022.wav	köpchilik közilirini chekcheytip oqutquchi ishlewetqan tejribini qiziqip körmekte idi 
data\F001_023.wav	séning bir ishni axirghiche chidap dawamlashturidighan qet’iy iradeng kishini qayil qilidu 
data\F001_025.wav	keynige dajighan ademler yol yaqisidiki yaymilarni örüwetti 
data\F001_026.wav	oxshashmaydighan pikir bolsa köpchilik öz’ara muzakirileshse bolidu 
data\F001_027.wav	asasimiz bolmisa bashqilardin xalighanche gumanlansaq bolmaydu 
data\F001_028.wav	bahar keldi derex shaxliridiki qushlar xushalliqidin sayrashmaqta 
data\F001_029.wav	shad xuramliq naxsha sadasi mektep asminida uzaqqiche yangridi 
data\F001_030.wav	ay yersharini chöridep aylinidighan hemrahdur 
data\F001_031.wav	meghlubiyet qorqunchluq emes qorqunchluqi meghlubiyettin kéyinki rohsizlinish 
data\F001_032.wav	doxtur héliqi bihush ademni qutquzuwatidu 
data\F001_033.wav	uning beden sapasi yaxshi bolghachqa bu xil jiddiy heriketke maslishalaydu 
data\F001_034.wav	u özi yéngi ijad qilghan naxsha tékstini manga qaynaq héssiyat bilen déklamatsiye qilip berdi 
data\F001_035.wav	u mexsus xatire tutup pasahetlik jümlilerni toplidi 
data\F001_036.wav	mektep yazliq tetilge qoyup berdi dadam apam méni momamningkige qoyup qoydi 
data\F001_037.wav	yashlar ösmürler japa musheqqetlik shara’itta özlirining iradisini chéniqturushi lazim 
